efsaprodcode2_recoded,Alpha-Tocopherol,Calcium,Copper,Magnesium,"Niacin Equivalents, Total",Phosphorus,Potassium,Riboflavin,Thiamin,Total Iron,Total Selenium,Vitamin B-12,"Vitamin B-6, Total",Vitamin E; Alpha-Tocopherol Equiv From E Vitamer Activities,"Vitamin K, Total",Zinc,foodLevel1,foodLevel2,foodLevel3,foodLevel4,level1,level2,level3
Acidophilus milk,0.08525984395082342,4.816819357876566,0.006975613736425243,2.533696813957432,0.6714856837787659,4.568802541817217,5.039731668583895,0.16672435998028665,0.03274373881183038,0.054488185284069734,0.001411859999307841,0.0002028365701291083,0.0388085403096361,0.2015793733983692,0.0009995003330835331,0.35667494393873234,0,0,0,0,14,25,146
"Acidophilus milk, QUAL Semi-skimmed",0.03633192924739028,4.7025561319762605,0.044973365642731154,2.4184615503798477,0.5247285289349822,4.447680604895319,4.9375524373577795,0.14940474178081276,0.02719818182990586,0.06485097231961633,0.0009995003330835331,0.00023568650946679395,0.037295784743696894,0.02208759646400479,0.0,0.3272461332479202,0,25,0,0,14,25,146
"Acidophilus milk, QUAL Skim",0.0,4.773103005329946,0.005186526687300062,2.586689344097943,0.5376622777195503,4.552372000421121,5.015385896854854,0.1601733235709438,0.034263390965853645,0.0880108773227133,0.0010851253242165776,0.00022283231389288782,0.0394954006979284,0.08617769624105233,0.0,0.3496503290017679,0,26,0,0,14,25,146
Alcoholic sweet sauce,0.6232610530957788,3.295836866004329,0.08065790301745447,2.0794415416798357,0.6709015716126256,4.564348191467836,4.189654742026425,0.08342160813907239,0.03633192924739028,0.8411360582733947,0.0,0.0003999200213269354,0.04018178963283184,0.6232610530957788,0.001998002662673056,0.5370779949100565,1,0,0,0,16,18,47
Alcopop and flavoured wine,0.0,1.6486586255873816,0.03052920503482287,0.7592469822644691,0.0,1.9459101490553132,2.1972245773362196,0.0,0.0,0.05414721807044643,0.0,0.0,0.0009995003330835331,0.0,0.0,0.019900661706336177,2,0,0,0,1,45,117
Ale beer,0.0,1.791759469228055,0.04879016416943201,2.302585092994046,0.6642331703953029,3.153956278768885,3.784189633918261,0.039220713153281295,0.0009995003330835331,0.05414721807044643,0.0,9.999500033330834e-05,0.033711057342311695,0.0,0.0,0.10735851832049936,3,0,0,0,1,7,5
Alfalfa sprouts,0.1397619423751587,3.4965075614664802,0.14755756435761466,3.332204510175204,0.8683601981166051,4.2626798770413155,4.382026634673881,0.09427067867121998,0.05988485245622409,0.6931471805599453,0.0009995003330835331,0.0,0.03066775716528352,0.07138999608667293,0.03004412134837667,0.6448568914321643,4,0,0,0,19,38,185
"Alfalfa sprouts, PROCESS Cooking in water",0.09075436326846414,3.5263605246161616,0.15357908792830066,3.2188758248682006,0.8346467428336448,4.2626798770413155,4.189654742026425,0.10526051065749295,0.06109509935981088,0.6392188385343898,0.0,0.0,0.028587456851912555,0.09075436326846414,0.03004412134837667,0.6184236343640088,4,11,0,0,19,38,185
"Alfalfa sprouts, PROCESS Steaming",0.08984070399978947,3.4495339282234463,0.15382409589228507,3.258096538021482,0.8549015321282079,4.449351449060136,4.721046643373893,0.12095261041766252,0.07005896966894909,0.6875601736911615,0.0,0.0,0.04947020499808753,0.08984070399978947,0.03004412134837667,0.5461376088840535,4,18,0,0,19,38,185
Allspice fruit,0.0,6.025658913052238,0.5179430915348546,4.6760279840845556,1.6389967146756448,4.580584710515477,6.5245058508019955,0.09790421498137149,0.08223809823697209,1.9397688810332308,0.004987541511039074,0.0,0.19650619178591106,1.7047480922384253,0.0,0.6931471805599453,5,0,0,0,12,60,176
Almond drink,0.0295588022415444,2.807680042051051,0.0,2.8622008809294686,0.09531017980432487,3.500827222610997,3.9318256327243257,0.016997576368571094,0.030944803849421557,0.2732933349996814,0.000499875041651048,0.0,0.048790164169432,0.2577381960787088,0.0,0.15822400521489416,6,0,0,0,15,41,114
Almonds sweet,1.791759469228055,5.4411800866014435,0.6261309257071586,4.9185200051884514,2.114636304416564,6.154615419744767,6.5245058508019955,0.41314979086671205,0.20817493562028846,1.5509003968097883,0.0019552301482842773,0.0,0.0893182379481972,1.7847852054907187,0.0,1.4160611861060053,7,0,0,0,12,49,195
"Almonds sweet, PROCESS Baking",1.791759469228055,5.204791308537213,0.6261309257071586,4.9185200051884514,2.104552185349938,6.130294378183713,6.5245058508019955,0.37510407940709956,0.16393934879590502,1.5511124312813296,0.0034227072775022305,0.0,0.06485097231961631,1.7847852054907187,0.0,1.447087036041502,7,9,0,0,12,49,195
